2025년도 제3회 일반 및 기타특별회계 추가경정 예산서 (경기도 구리시),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,__sheet__,__file__
2025,추경3회,일반회계,가족복지과,1인가구 병원 안심동행 사업,307-05,민간위탁금,○1인가구 병원 안심동행사업,112530,128830,-16300,0,0,0,0,-4890,0,-11410,데이터,가족복지과.xlsx
2025,추경3회,일반회계,가족복지과,아이돌봄 지원,307-05,민간위탁금,○아이돌봄 지원,3102638,2555269,547369,381311,0,0,0,83029,0,83029,데이터,가족복지과.xlsx
2025,추경3회,일반회계,가족복지과,아이돌봄서비스 다자녀 가정  본인부담금 지원,307-11,사회복지사업보조,○아이돌봄서비스 다자녀 가정 본인부담금 지원,53600,32000,21600,0,0,0,0,10800,0,10800,데이터,가족복지과.xlsx
2025,추경3회,일반회계,가족복지과,아빠 육아휴직 장려금,301-02,"사회보장적수혜금(취약계층, 지방재원)",○아빠 육아휴직 장려금,57000,45000,12000,0,0,0,0,3600,0,8400,데이터,가족복지과.xlsx
2025,추경3회,일반회계,가족복지과,저소득 한부모가족 지원,301-01,사회보장적수혜금(국고보조재원),○저소득 한부모가족 지원,2189300,2589300,-400000,-320000,0,0,0,-40000,0,-40000,데이터,가족복지과.xlsx
2025,추경3회,일반회계,가족복지과,한부모가족 아동양육비 지원(도비),301-02,"사회보장적수혜금(취약계층, 지방재원)",○한부모가족 아동양육비 지원(도비),15394,11794,3600,0,0,0,0,1080,0,2520,데이터,가족복지과.xlsx
2025,추경3회,일반회계,가족복지과,여성폭력피해자 지원시설 인건비 지원,307-10,사회복지시설법정운영비보조,○여성폭력피해자 지원시설 종사자 인건비 지원,31370,69712,-38342,0,0,0,0,-11503,0,-26839,데이터,가족복지과.xlsx
2025,추경3회,일반회계,가족복지과,여성행복센터 운영,201-02,공공운영비,○전기 요금,149520,137520,12000,0,0,0,0,0,0,12000,데이터,가족복지과.xlsx
2025,추경3회,일반회계,가족복지과,여성행복센터 운영,201-02,공공운영비,○수도 요금,22500,21000,1500,0,0,0,0,0,0,1500,데이터,가족복지과.xlsx
2025,추경3회,일반회계,가족복지과,여성행복센터 운영,201-03,행사운영비,○여성행복센터 수강생 작품 발표 및 전시회,4000,0,0,0,0,0,0,0,0,0,데이터,가족복지과.xlsx
2025,추경3회,일반회계,가족복지과,여성행복센터 운영,201-03,행사운영비,  ｏ작품 전시 및 공연장 설치,2500,0,2500,0,0,0,0,0,0,2500,데이터,가족복지과.xlsx
2025,추경3회,일반회계,가족복지과,여성행복센터 운영,201-03,행사운영비,  ｏ작품 발표 홍보물 제작,500,0,500,0,0,0,0,0,0,500,데이터,가족복지과.xlsx
2025,추경3회,일반회계,가족복지과,여성행복센터 운영,201-03,행사운영비,  ｏ작품전시설치비,1000,0,1000,0,0,0,0,0,0,1000,데이터,가족복지과.xlsx
2025,추경3회,일반회계,가족복지과,여성행복센터 운영,301-14,기타보상금,○강사수당,466500,472500,-6000,0,0,0,0,0,0,-6000,데이터,가족복지과.xlsx
2025,추경3회,일반회계,가족복지과,부모급여 지원,301-01,사회보장적수혜금(국고보조재원),○부모급여 지원,10500530,10714825,-214295,-160722,0,0,0,-37501,0,-16072,데이터,가족복지과.xlsx
2025,추경3회,일반회계,가족복지과,영유아보육료 지원,301-01,사회보장적수혜금(국고보조재원),○영유아보육료 지원,18342290,18475967,-133677,-100258,0,0,0,-23393,0,-10026,데이터,가족복지과.xlsx
2025,추경3회,일반회계,가족복지과,누리과정 운영 지원,301-02,"사회보장적수혜금(취약계층, 지방재원)",○누리과정 운영 지원,5493257,5673257,-180000,0,0,0,0,-180000,0,0,데이터,가족복지과.xlsx
2025,추경3회,일반회계,가족복지과,야간연장 어린이집 운영 지원,307-10,사회복지시설법정운영비보조,○야간연장 어린이집 운영 지원,160933,144000,16933,0,0,0,0,5080,0,11853,데이터,가족복지과.xlsx
2025,추경3회,일반회계,가족복지과,보육교직원 인건비 지원(국공립법인),307-10,사회복지시설법정운영비보조,○교직원 인건비 지원(국공립법인),3575774,3270597,305177,183106,0,0,0,85450,0,36621,데이터,가족복지과.xlsx
2025,추경3회,일반회계,가족복지과,보육교직원 인건비 지원(영아전담등),307-10,사회복지시설법정운영비보조,○교직원인건비 지원(영아전담등),1984958,2075863,-90905,-54543,0,0,0,-25454,0,-10908,데이터,가족복지과.xlsx
2025,추경3회,일반회계,가족복지과,보육교직원 처우개선 지원(대체교사 인건비),307-10,사회복지시설법정운영비보조,○보육교직원 처우개선 지원(대체교사 인건비),294767,311428,-16661,-9996,0,0,0,-4665,0,-2000,데이터,가족복지과.xlsx
2025,추경3회,일반회계,가족복지과,보육교직원 처우개선 지원(보조교사 인건비),307-10,사회복지시설법정운영비보조,○보육교직원 처우개선 지원(보조교사 인건비),3417039,3467039,-50000,-30000,0,0,0,-14000,0,-6000,데이터,가족복지과.xlsx
